Track Number,Song Title,Album,Artist,Release Date,Lyrics
1,Soft as Snow (But Warm Inside),Isn't Anything,my bloody valentine,21-Nov-88,"21 ContributorsSoft as Snow (But Warm Inside) Lyrics Soft as snow but warm inside Penetrate, you cannot hide Feeling lost forever, really need you Feeling dark and feeling true This is all I ever knew Soft as skin in leather and I whisper, ""You"" Harder you come down on me (Ooh, ooh) Sink away, you look happy (Ooh, ooh) Secrets keep forever, they're undressing me (Ooh, ooh) Come inside, it's warm in here (Ooh, ooh) Better now to have no fear (Ooh, ooh) Carried on a wave, where it can lead you? (Ooh, ooh) Touch your head, then your hair Softer, softer everywhere Fingertips are burning, can I touch you there? Soft as velvet, eyes can't see Bring me close to ecstasy High away to heaven, and I'm coming too Float now, coming down on me (Ooh, ooh) Handed you what I cannot see (Ooh, ooh) Feel the big happy, you're exploding me (Ooh, ooh) Soft as snow and warm inside (Ooh ooh) Penetrate then re-divide (Ooh, ooh) Slip away forever, really need you (Ooh, ooh) You might also like Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh1Embed"
2,Lose My Breath,Isn't Anything,my bloody valentine,21-Nov-88,"20 ContributorsLose My Breath Lyrics Keep coming now Possessed of nothing more than hell Before I can speak My world is wishing me asleep Weigh me down And when the darkness comes around Repeating heads Remember nothing I have said Where are you Come back again, I want you too ""Not now, girl,"" you say But I was born to lose my breathYou might also like2Embed"
3,Cupid Come,Isn't Anything,my bloody valentine,21-Nov-88,"21 ContributorsCupid Come Lyrics Cupid come from coffee cup Sickly heavy heart Semi-set adrift in your Lifted sugar eye Come back down, I'm waiting here And lick me with your fire Connected silver tongues Our lips beside Every time I look at you Pins me to the ground Mirror me your memories, please And let me help you down Swallow me into your bed With glimpses of your thighs Forget your vanity Come Cupid, come You might also like Cupid come from coffee cup Sickly heavy heart Semi-set adrift in your Lifted sugar eye Come back down, I'm waiting here And lick me with your fire Connected silver tongues Our lips beside1Embed"
4,(When You Wake) You’re Still in a Dream,Isn't Anything,my bloody valentine,21-Nov-88,"16 Contributors(When You Wake) Youâre Still in a Dream Lyrics Turn around to watch all the same You know you're simply a game I see you've messed up your laughing head I'll take you again and again When you wake you're still in a dream Not real though I love you unclean I'm telling you you're a sick mind You come back so fine, so fine Know your smile is colder than ice That will back you up real nice But killing hardly's a weapon for you Your wasted space is mine, too Turn around to watch all the same You know you're simply a game I see you've messed up your laughing head I'll take you again and againYou might also like1Embed"
5,No More Sorry,Isn't Anything,my bloody valentine,21-Nov-88,"22 ContributorsNo More Sorry Lyrics What happened now And again And then again And again Left me black and blue No more sorry Flesh and bone Not alone You're not alone Waiting by the telephone Whatever you do Don't call daddy In my hair Everywhere Everywhere And everywhere Fingerprints of you You might also like Filthy, dirty Wash and mend And wash and mend Some kind of friend Your septic heart, your deadly hand Left me black and blue No more sorryEmbed"
6,All I Need,Isn't Anything,my bloody valentine,21-Nov-88,"12 ContributorsAll I Need Lyrics You don't ask what I needed to do When I come back you'll need to choose Oh, whatever I ask you take take take take Oh, this is all I need to say It's in your eye, I wondered why No need to say how close can we lie Oh, we don't talk, you know all I need Oh, this is what I need to take Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm You don't ask what I needed to do When I come back you'll need to choose Oh, all I ask you do do do do Oh, this is all I need from you Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmmYou might also like3Embed"
7,Feed Me with Your Kiss,Isn't Anything,my bloody valentine,31-Oct-88,"36 ContributorsFeed Me with Your Kiss Lyrics Change, you get what you see If you can, I believe you can Hey, what's come down over me? It's the way you stood, it's the way you stood 'Cause things, the way they are I guessed you might go real far So feed me with your kiss Oh, come lie down close to me Do what you dare, oh I don't care I will get what I can see I'll crawl over there, I'll crawl over there 'Cause things, the way they are I guessed you might go real far So feed me with your kiss Spread me like I need to use I do what I do, I do what I will do Crave, your kiss will set me free I'll do what I should, I'll do what I should You might also like 'Cause things, the way they are I guessed you might go real far So feed me with your kiss1Embed"
8,Sueisfine,Isn't Anything,my bloody valentine,21-Nov-88,"23 ContributorsSueisfine Lyrics I will Don't leave Me alone, oh Sue is fine Sue is fine Suicide Suicide Hold, hold, hold me Talk a lot, don't brood again Suicide Suicide Suicide Suicide Give me Fuck (Fuck) Come Now you'll taste so good You might also like Suicide Suicide Suicide Suicide Suicide (Suicide) Suicide (Suicide) Suicide SuicideEmbed"
9,Several Girls Galore,Isn't Anything,my bloody valentine,21-Nov-88,"14 ContributorsSeveral Girls Galore Lyrics Heard that I met me once before Was it me or just don't you care? Once more ignore As I wrap me around we I'm never quite there at all So which me should I prefer To go out driving in my car? Feeling so sore I took me out dancing Three of me or more Insane, I'm sure We're living inside me Are several girls galore Once more ignore I'll wrap me around we I'm never quite there at all You might also like Insane, I'm sure We're living inside me Several girls galoreEmbed"
10,You Never Should,Isn't Anything,my bloody valentine,21-Nov-88,"16 ContributorsYou Never Should Lyrics Twisting round inside My heart is burning up, my head divide But you control these feelings I can't hide Tried to change my mind Until the end there's nothing in control of you It isn't easy but that's all I can do Oh, you took a long time Yeah, 'cause you probably could Ooh, you said the fault was mine Yeah, but you never should Breaking down again You're running little circles through your hair I could walk away now and you wouldn't care Don't look so surprised You crawl around and then you seem to wonder why I turn around and see madness in your eyes Oh, you took a long time Yeah, 'cause you probably could Ooh, you said the fault was mine Yeah, but you never shouldYou might also like1Embed"
11,Nothing Much to Lose,Isn't Anything,my bloody valentine,21-Nov-88,"11 ContributorsNothing Much to Lose Lyrics Your soft hand But I don't understand Your big brown eyes With a small small heart I'll come down, down, down Oh, you don't know what you found Don't, don't walk, walk, walk away Take me I will remember you Long dark hair Nothing much to lose Help you crawl, crawl, crawl Oh, I want to see it all Eyes asked, ""Why? Why? Why?"" Too late Please you Oh, I know what to do A soft salt taste Do you see me as a fool? You might also like Can I look, look, look? Oh, the things you took Eyes asked, ""Why? Why? Why?"" Too late I'll come down, down, down Oh, you don't know what you found Don't, don't walk, walk, walk away3Embed"
12,I Can See It (But I Can’t Feel It),Isn't Anything,my bloody valentine,21-Nov-88,"14 ContributorsI Can See It (But I Canât Feel It) Lyrics Don't know when I will leave you again Grab a reason And I'm dragging you down Come just to make you happy Shot in the head I can see I can see it But I can't feel it Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Don't know when I will leave you again Grab a reason And I'm dragging you down Come just to make you happy Shot in the head I can see I can see it But I can't feel it Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh oohYou might also likeEmbed"
1,Spanish Air,Just for a Day,Slowdive,2-Sep-91,"10 ContributorsSpanish Air Lyrics Screams that seem unreal Shouts follow the sins There's nothing here for me now The wind blows for as far as I can see I long for the sun The midland air For all that I have There's written in waves I know that now There's left to be seen I know that I've lost him I'm leaving here Fastest knife a sign Feels so far away There's nothing here for me now The clouds fly, so far I'm lost there now I long for the sun The midland air For all that I have Is written in waves And now that I know Is left to be seen And now that I've lost him I'm leaving hereSee Slowdive LiveGet tickets as low as $55You might also like3Embed"
2,Celia’s Dream,Just for a Day,Slowdive,2-Sep-91,"13 ContributorsCeliaâs Dream Lyrics She flies She's gone to ride an angel's breath And gone to taste a dream And every time I call her A shadow crawls away But she takes She laughs at all there is And everything she owes me She gives She told me that she loved me Love, just for a day And all the time I feel her I feel her fade away But she takes She gives him all the fakes And everything feels good And clouds like shadows pass She's passing like a day See Slowdive LiveGet tickets as low as $55You might also like She takes She gives him all the years And everything feels good And clouds like shadows pass She's passing like a day4Embed"
3,Catch the Breeze,Just for a Day,Slowdive,3-Jun-91,"13 ContributorsTranslationsTÃ¼rkÃ§eCatch the Breeze Lyrics Feels like all the days are gone Just catch the breeze, you know you've had your fun Rain washes waves down And I, I want the world to cry And I, I watch the winds you fly You can believe in everything You can believe it all Hey, are you feeling something new? Just watch the rain, it helps in all you do The breeze, it blows, it blows everything And I, I want the world to cry And I, I want the sun to shine You can believe in everything You can believe it all See Slowdive LiveGet tickets as low as $55You might also like1Embed"
4,Ballad of Sister Sue,Just for a Day,Slowdive,2-Sep-91,"16 ContributorsBallad of Sister Sue Lyrics Donât tell me Iâm lost if I donât seem too sure what to wear Donât tell me Iâm lost if I donât seem too sure what to wear Thereâs a fire in my head and Iâm blinded by all I canât see Thereâs a fire in my head and Iâm blinded by all I canât see Dancing to nowhere, Iâm losing my head among thieves Dancing to nowhere, Iâm losing my head among thieves And the man at the bar looked like all that he needed was gone And the man at the bar looked like all that he needed was gone Sister, I've lost all the feeling I'm lost and I'm sold I lay down beside you Sister, I'm blinded It's only my eyes I've sold them before The man said the drink in his hand would be all he required The man said the drink in his hand would be all he required And it seemed much the same when he pointed the gun at his head And it seemed much the same when he pointed the gun at his head Filled it with lead It made so much noise that I checked out of town, yeah Blood on my face and the words of a sage in my mind (It made so much noise that I checked out of town, yeah) See Slowdive LiveGet tickets as low as $55You might also like Sister, I've lost all the feeling I'm lost and I'm sold I lay down beside you Sister, I'm blinded It's only my eyes I've sold them before6Embed"
5,Erik’s Song,Just for a Day,Slowdive,2-Sep-91,
6,Waves,Just for a Day,Slowdive,2-Sep-91,"13 ContributorsWaves Lyrics Watch the waves so far away They're washing 'cross the paths that I have made Leaving all my sins, I turn away Like soaring birds, I watch my sorrows play Don't you know, I've left and gone away You're knocking on the door I closed today And everything looks brighter The waves, they just soothe my pain away It felt so good to see the sun I'll choose my time before I choose the one Floating 'cross the waves, the silence runs My thoughts can go, but now, my sorrow's done Don't you know, I've left and gone away You're knocking on the door I closed today And everything looks brighter The waves they just soothe my pain awaySee Slowdive LiveGet tickets as low as $55You might also like1Embed"
7,Brighter,Just for a Day,Slowdive,2-Sep-91,"11 ContributorsBrighter Lyrics She drifts in the sky, yeah The birds made of grain She can now see the sun And everyone said, yeah You're better off dead but She didn't know we were alone And when it all looks brighter Just turn around and smile When it's looking better Just leave it all to time Just leave it all to time She said don't you know, yeah There's people in places And places is what made her see And everyone said, yeah She's better off dead but She looked like she wanted to live And when it all looks brighter Just turn around and smile When it's looking better Just leave it all to time Just leave it all to time See Slowdive LiveGet tickets as low as $55You might also like When it all looks brighter Just turn around and smile And when it's looking better Just leave it all to time Just leave it all to time Just leave it all to time Just leave it all to time2Embed"
8,The Sadman,Just for a Day,Slowdive,2-Sep-91,12 ContributorsThe Sadman Lyrics I know there is It all away It all goes round The house today The reason why You're losing time The sadman calls He calls for you He cries for you (..need to be..) He cries for you The sadman calls He calls for me The things you say The songs that shine For another time I count the ways Your smile's the place The sadman calls He calls for you He cries for you You hurt my feelings You're losing me The sadman cries He cries for meSee Slowdive LiveGet tickets as low as $55You might also likeEmbed
9,Primal,Just for a Day,Slowdive,2-Sep-91,"11 ContributorsPrimal Lyrics Today, I watch the colours fade Watch the games you play And when it all falls down, yeah Don't forget the days When the sunshine fades away Remember what they say Remember what they say To the right time She calls to, to the day Every time she says she's falling And every time she called us friends Cause To the right time She calls to, to the day And every time she says she's falling And every time she called us friends I can't believe Can't believe, disgusted Disgusted, I can't believe it Disgusted, can't believe it Can't believe itSee Slowdive LiveGet tickets as low as $55You might also likeEmbed"
1,only shallow,loveless,my bloody valentine,4-Nov-91,"66 ContributorsTranslationsEspaÃ±olPortuguÃªsonly shallow Lyrics Sleep like a pillow, no one there Where she won't care, anywhere Soft as a pillow, touch her there Where she won't dare, somewhere Sweet like a mallow, softer, fair Feel like you could swallow her Sleep, going to tremble, she's not square Soft like there's silk everywhere Sleep as a pillow, comfort there Where she won't dare, anywhere Look in the mirror, she's not there Where she won't care, somewhereYou might also like23Embed"
2,loomer,loveless,my bloody valentine,4-Nov-91,"31 ContributorsTranslationsEspaÃ±olPortuguÃªsloomer Lyrics Tiptoe down to the lonely places Where you going now, don't turn around Little girls in their party dresses Didn't love anything there Pretty boys with their sunshine faces Carrying their heads down Tiptoe down to the lonely places Where you going now, don't turn aroundYou might also like10Embed"
3,touched,loveless,my bloody valentine,4-Nov-91,
4,to here knows when,loveless,my bloody valentine,20-Feb-91,"37 ContributorsTranslationsPortuguÃªsto here knows when Lyrics Kiss Your fear Your red button Falls from my mouth Slip Your dress Over your head It's been so long Move, move Move, move Move, move Move, move Move On top Because that way You touch her, too Turn Your head Come back again To here knows when You might also like Move, move Move, move Move, move Move, move Move, move Move, move Move, move Move, move 7Embed"
5,when you sleep,loveless,my bloody valentine,4-Nov-91,"86 ContributorsTranslationsEspaÃ±olPortuguÃªswhen you sleep Lyrics When I look at you Oh, but I don't know what's real Once in a while And you make me laugh And I'll sleep tomorrow And it won't be long Once in a while Then you take me down When you walk away When you say ""I do"" Oh, but I don't believe in you I can't forget it, ooh When you sleep tomorrow And it won't be long Once in a while When you make me smile And you turn your long blonde hair When I look at you Oh, but I don't know what's real Once in a while And you make me laugh And I'll sleep tomorrow And it won't be long Once in a while Then you take me down When you walk awayYou might also like38Embed"
6,​i only said,loveless,my bloody valentine,4-Nov-91,"27 ContributorsTranslationsEspaÃ±olPortuguÃªsâi only said Lyrics See you there, run away, you said To go you were there, you were there To lay underneath the red sky there To lay under her, I want her there See you there, under her, and under To go, you were there, I only said To lay under her and I'm slow, oh To lay under her, I've grown away, ohYou might also like7Embed"
7,come in alone,loveless,my bloody valentine,4-Nov-91,29 ContributorsTranslationsEspaÃ±olcome in alone Lyrics Come in alone You'll love to let go And I'll turn you around When your hopes gave me doubts (Oh) Run and hide Why I don't need to believe What you see To look up and around You were gone Words came out to a sound Feel I'm alive You will see Why and why Felt like crying Over her I will go To the wall (Oh) Run from some You might also like Come in alone You'll love to let go And I'll turn you around When your hopes gave me doubts (Oh) Run and hide10Embed
8,sometimes,loveless,my bloody valentine,4-Nov-91,"58 ContributorsTranslationsPortuguÃªssometimes Lyrics Close my eyes, feel me now I don't know how you could not love me now You will know, and her feet down to the ground Over there, and I want true love to know You can't hide, oh no, from the way I feel Turn my head into sound I don't know when I lay down on the ground You will find the way it hurts to love Never cared, and the world turned hearts to love You will see, oh, now, oh, the way I do You will wait, see me go I don't care, when your head turned all alone You will wait, when I turn my eyes around Overhead, when I hold you next to me Overhead, to know, oh, the way I see Close my eyes, feel me how I don't know, maybe you could not hurt me now Here alone, when I feel down too Over there, when I await true love for you You can hide, oh, now, the way I do You can see, oh, now, oh, the way I doYou might also like38Embed"
9,​blown a wish,loveless,my bloody valentine,4-Nov-91,32 ContributorsTranslationsEspaÃ±olâblown a wish Lyrics Midnight wish Blow me a kiss Holding onto you Make like this Trying to pretend it's true Ooh Show me all your favorite things Show you all mine too Wake and wish I'll give them all to you Ooh Hold on to your promises Hold on to mine too Caught like this I'll turn it in with you Ooh Fall apart my beating heart Nothing left to do Once in love I'll be the death of you OohYou might also like10Embed
10,what you want,loveless,my bloody valentine,4-Nov-91,"34 ContributorsTranslationsEspaÃ±olwhat you want Lyrics What I do I say but I can't get far away Oh, I go back to a memory again What you want but you know that I'm alive Then I'll go back to you, don't you know how I feel inside? When you come down blue But I do, I do, I do Oh, I come back to the one who calls my name out What you want, don't you know that I can smile? Then I go back to you and then you make him go inside Turn around and smile No, they can't see through your eye Could I fall into the one who calms my mind? Come back down, no, I can't believe my mind Then it surrounds you, don't you know that I asked why When you come down blue But I do, I do, I do Oh, I come back to the one who calls my name out What you want, let me know that I'm alive Then I go back to you and then you make him go inside You might also like8Embed"
11,soon,loveless,my bloody valentine,4-Nov-91,"35 ContributorsTranslationsEspaÃ±olsoon Lyrics Wake up, don't fear I want to love you Yeah, doll of pain I let you get to me Yeah, yeah Come back, don't be Afraid of me soon That I'll harm you Your eyes are blue Blue jewels Yeah, yeah Come back, have faith Someone like you Can find the reason Of what I did to you Yeah, yeah Wake up, don't fear I want to love you Yeah, doll of pain I let you get to me Yeah, yeahYou might also like7Embed"
1,she found now,m b v,my bloody valentine,2-Feb-13,"22 ContributorsTranslationsEspaÃ±olPortuguÃªsshe found now Lyrics You come home and hear I want you I wonder how that you find out I wonder how that you find out Could You could You could be here, I wonder You couldn't lie that it's over You couldn't now that it's over You You could You could Could You come back and see I woke up You might also like I wonder how that you find out You wonder how that you found out Ahh You could You could You could You4Embed"
2,only tomorrow,m b v,my bloody valentine,2-Feb-13,"16 ContributorsTranslationsEspaÃ±olPortuguÃªsonly tomorrow Lyrics Into the night we won't come back to Into your heart, it's the only you Only tomorrow the love comes easy What should I do? It's the only you What's in your mind? Our love falls in too Holding you close, it is only one Into the night you won't come back to Into your heart, it's the only you Only tomorrow the love comes easy What should I do? It is only oneYou might also like6Embed"
3,who sees you,m b v,my bloody valentine,2-Feb-13,22 ContributorsTranslationsEspaÃ±olPortuguÃªswho sees you Lyrics Wonder sun Carry weight to the one who sees you Make me stay on my way On my way How could it be that your love under stars Know that your nightmares ended Bring your eyes to the night Onto and in you She'll be awake And I'll stay over here Who do you choose Say goodbye Will this world be through And I'm coming in too Look and you saw my cause What you'll do too soon Call me dumb What I do for you You might also like How does it feel? Don't turn back And I love what you do But we're coming home8Embed
4,is this and yes,m b v,my bloody valentine,2-Feb-13,24 ContributorsTranslationsEnglishEnglishis this and yes LyricsAgain Again Again Again Again Again Again Again Again Again Again Again Again Again Again AgainYou might also likeEmbed
5,if i am,m b v,my bloody valentine,2-Feb-13,"18 ContributorsTranslationsEspaÃ±olPortuguÃªsif i am Lyrics Hey wonder then Wait, cause I need today Or tomorrow Curl into you for how I lust you Will come to sorrow Hey, I'm falling, stay 'Cause I'm on to you Where you lay, ah Hard bound to not stop Even if I'm wrong Da-da-da-da-da-da-da-da-da-da-da, du-du-du-du You are out for lust Be my lover Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not) Ooh, ooh (Even if I'm not)You might also like3Embed"
6,new you,m b v,my bloody valentine,2-Feb-13,"16 ContributorsTranslationsEspaÃ±olPortuguÃªsnew you Lyrics Too close when it's really with me Something comes and pins me to the sky to come Too slow when the moon is with you I'll be too and wish you up with me to come soon Maybe we can say, holding me for the way Come back, it's not tomorrow 'cause Always today's fun we know Just like I knew you wanted me to do What can I see? How can I feel too? All kinds of new you Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do do Oooh, oooh, oooh, oooh Do do do do do do do do do doYou might also like3Embed"
7,in another way,m b v,my bloody valentine,2-Feb-13,"13 ContributorsTranslationsEspaÃ±olPortuguÃªsin another way Lyrics Close enough to be alive So it feels lost Another way to settle down Another way, another life Deep inside, you and I Sitting on the side Close tonight we'll be inside On the other way, on the other side Close enough to be alive So it feels lost Another way to settle down Another way, another life Deep inside, you and I Sitting on the side Close tonight we'll be inside On the other way, on the other sideYou might also like1Embed"
8,nothing is,m b v,my bloody valentine,2-Feb-13,
9,wonder 2,m b v,my bloody valentine,2-Feb-13,"11 ContributorsTranslationsEspaÃ±olPortuguÃªswonder 2 Lyrics I'm moving your eyes slow for you see, see all the way And I found you something to hold you alive Somewhere you stand on worry too unfortunate Will you sing on to come to use on I'm moving your eyes slow for you see, see all the way And I found you something to hold you alive into the head on Remember you used to You were always late to see tomorrow Everyone knows that you're such too soonYou might also like1Embed"
1,Seagull,Nowhere,Ride,15-Oct-90,"17 ContributorsSeagull Lyrics My eyes are sore, my body weak My throat is dry, I cannot speak My words are dead Falling like feathers to the floor Falling like feathers to the floor, ah You gave me things I'd never seen You made my life a waking dream But we are dead Falling like ashes to the floor Falling like ashes to the floor, ah Definitions confine thoughts, they are a myth Words are clumsy, language doesn't fit But we know there's no limit to a thought We know there's no limits See Ride LiveGet tickets as low as $54You might also like Now it's your turn to see me rise You burned my wings, but watch me fly Above your head Looking down I see you far below Looking up you see my spirit glow, ah 6Embed"
2,Kaleidoscope,Nowhere,Ride,15-Oct-90,"10 ContributorsKaleidoscope Lyrics I know that you are thinking 'bout me now I can feel it but I don't know how When I'm gone you will see so clear That I left some words unspoken here All these words that I have said float around you, fill your head All the times we laughed and cried, I never thought I'd leave you behind I don't want you to understand You will never hold me in your hand I don't want you to see my face When I fade away and leave this place All these songs that fill my head dance around you when I'm dead All the love I ever knew, kaleidoscopes around to you All these words that I have said float around you, fill your head All the times we laughed and cried, I never thought I'd change your mind All these songs that fill my head dance around you when I'm dead All the love I ever knew, kaleidoscopes around to youSee Ride LiveGet tickets as low as $52You might also like1Embed"
3,In a Different Place,Nowhere,Ride,15-Oct-90,"10 ContributorsIn a Different Place Lyrics Blowing bubbles lying down waiting for the rain to fall Laughing at the people, wonder why they always rush, never slow down And we're smiling when we're sleeping And we're smiling when we're waking Even if the rain falls down and all the sky turns cold I will feel fine Thunder roared and lightning flashed, but you and I were in a different time And we're smiling when we're sleeping And we're smiling when we're waking Floating in and out of time, in and out of space No one else can touch us now, we're in a different place See Ride LiveGet tickets as low as $54You might also likeEmbed"
4,Polar Bear,Nowhere,Ride,15-Oct-90,"12 ContributorsPolar Bear Lyrics She knew she was able to fly because when she came down She had dust on her hands from the sky, she said I touched a cloud She felt so high, the dust made her cry She knew she could fly like a bird but when she said ""Please raise the roof higher"" nobody heard, they never noticed a word The light bulbs burn, her fingers will learn Ah, a-ha, a-ha Ah, a-ha, a-ha Why should it feel like a crime? If I want to be With you all the time, why is it measured in hours? You should make your own time, you're welcome in mine She knew she was able to fly because when she came down She had dust from her hands on the sky, she said I touched a cloud Her fingers will learn, the lightbulbs burn See Ride LiveGet tickets as low as $52You might also like Ah, a-ha, a-haEmbed"
5,Dreams Burn Down,Nowhere,Ride,15-Oct-90,"14 ContributorsDreams Burn Down Lyrics Lying under sky laughing at everything I say And pulls me under, there's no time to resist Lying on the floor the tears are falling down and more Her eyes speak loud but actions speak the best Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every time She's effortlessly cool but circumstances can be cruel And sometimes you must accept that you can't get what you want We fill up our days and nights, we fill up the gaps in our empty little lives But we know we are doomed the moment we walk out the room Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every timeSee Ride LiveGet tickets as low as $54You might also like1Embed"
6,Decay,Nowhere,Ride,15-Oct-90,"12 ContributorsDecay Lyrics We have short time to stay Our night is slipping far away Caught up within bad memories Our growth seems certain to decay Now this feeling's so alive But, as you or anything, we die We die, we die Let's stay here for a while Eyes so round and bright we gently smile Live for this moment, not the past Why do we always fall so fast? Now this feeling's so alive But, as you or anything, we die We die, we die, we die, we die See Ride LiveGet tickets as low as $54You might also like We die, we die, we die, we die We die, we die, we die2Embed"
7,Paralysed,Nowhere,Ride,15-Oct-90,"14 ContributorsParalysed Lyrics Catch me in another dream, I'm pulled away Hold me, gently take me through another day However hard I try, I crawl when I should fly I wander through my days, pulled a million ways Help me feel the forces I can't touch, I'm reaching out Help me to learn until I know too much, I'm still without These circles pulling near, hold me in my fear And sleeping I can't hide, I'm paralysed inside Paralysed, paralysed, paralysed, paralysed Paralysed, paralysed, paralysed, paralysed See Ride LiveGet tickets as low as $54You might also like1Embed"
8,Vapour Trail,Nowhere,Ride,15-Oct-90,"20 ContributorsVapour Trail Lyrics First you look so strong, then you fade away The sun will blind my eyes, I'll love you anyway Thirsty for your smile, I watch you for a while You are a vapour trail in a deep blue sky La la la la, la La la la la, la La la la la, la La la la la Tremble with a sigh, glitter in your eye You seem to come and go, I never seem to know And all my time is yours as much as mine We never have enough time to show our love La la la la, la La la la la, la La la la la, la La la la love See Ride LiveGet tickets as low as $54You might also like8Embed"
1,Rutti,Pygmalion,Slowdive,6-Feb-95,14 ContributorsRutti LyricsInto the light of mine Inside I fall Into the light of mine It's just a love Into the soul of mine In by the bed Into the soul of mine His soul His soul the light of mine It's all a bibe Into the light of mine Inside of me Here's to the light outside It's all in pain I see the soul of you It's just a life Into the water of me Inside your bed Go kill the ghost of her Don't bother me See Slowdive LiveGet tickets as low as $55You might also likeHere's to the light outside In the water In the water In the water2Embed
2,Crazy for You,Pygmalion,Slowdive,6-Feb-95,"11 ContributorsCrazy for You LyricsCrazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love)See Slowdive LiveGet tickets as low as $55You might also like2Embed"
3,Miranda,Pygmalion,Slowdive,6-Feb-95,10 ContributorsMiranda LyricsSee Slowdive LiveGet tickets as low as $55You might also like1Embed
4,Trellisaze,Pygmalion,Slowdive,6-Feb-95,11 ContributorsTrellisaze LyricsSee Slowdive LiveGet tickets as low as $55You might also likeEmbed
5,Cello,Pygmalion,Slowdive,6-Feb-95,
6,J’s Heaven,Pygmalion,Slowdive,6-Feb-95,9 ContributorsJâs Heaven LyricsInside my soul Isnât life cheerful? Inside my soul Isnât life cheerful? Inside myâ¦ Isnât life cheerful? Inside myâ¦ Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful?See Slowdive LiveGet tickets as low as $55You might also like1Embed
7,Visions of LA,Pygmalion,Slowdive,6-Feb-95,12 ContributorsVisions of LA LyricsSit still by the fire Ease his worried mind If only I could try Reach the light inside Feels so hard to say Chase his fears away Know that I won't try Catch his dreams todaySee Slowdive LiveGet tickets as low as $55You might also like2Embed
8,Blue Skied an’ Clear,Pygmalion,Slowdive,6-Feb-95,"17 ContributorsBlue Skied anâ Clear Lyrics You say your money In the mind One and all (You're so hard to reach) (You're sunshine) For another Fall aside (You're so hard to reach) (You're sunshine) For another Fallen down (You're so hard to reach) (You're sunshine) In our life (You're sunshine) (You're sunshine) (You're sunshine) You say life And it sounds so good You say love And it sounds so sweet (You're sunshine) (Oh, sunshine) You say your money (You're sunshine) In the mind What an honor (You're so hard to reach) (You're sunshine) In the mind Follow my (You're so hard to reach) (You're sunshine) For another Follow my (You're so hard to reach) (You're sunshine) For another See Slowdive LiveGet tickets as low as $55You might also like (You're sunshine) You say life And it sounds so good You say love And it sounds so sweet You say life And it sounds so good You say love And it sounds so sweet (You're sunshine) (You're sunshine) (You're sunshine) (You're sunshine)Embed"
