Track Number,Song Title,Artist,Release Date,Lyrics,Album Name
1,Leave Them All Behind,Ride,9-Mar-92,"21 ContributorsLeave Them All Behind Lyrics Wheels turning around into alien grounds Pass through different times, leave them all behind Leave them all behind, leave them all behind Leave them all behind, leave them all behind Just to see we've got so far to go Until we get there, just let it flow Just let it flow, just let it flow Just let it flow, just let it flow Ah, ah-ah Ah, ah-ah Ah, ah Ah, ah See Ride LiveGet tickets as low as $54You might also like Colours shining clear fading into night Our grasp is broken, there's nothing we can do I don't care about the colours I don't care about the light I don't care about the truth I don't care about the truthEmbed",Going Blank Again
2,Twisterella,Ride,9-Mar-92,"14 ContributorsTwisterella Lyrics Any minute she will feel the chemistry Vibrations in her brain can't ever be explained Slip away and out of sight, feel the magnets of the night The circus that you see is where you have to be If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? Feel the weight letting go Feel more lightness than you've ever known You can't see when light's so strong You can't see when light is gone If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? See Ride LiveGet tickets as low as $54You might also like ""Look at Twisterella, she hasn't got a fella""Embed",Going Blank Again
3,Not Fazed,Ride,9-Mar-92,"8 ContributorsNot Fazed LyricsI won't be a monkey in anyone's zoo, ah-ah-ah And I won't get fazed whatever you do, ah-ah-ah Ah-ah-ah, ah-ah-ah... Ah-ah-ah, ah-ah-ah... Hit him again, he's crazy, hit him again, he's crazy, ah-ah-ah Hit him again, he's crazy, hit him again, he's crazy, ah-ah-ah Ah-ah-ah, ah-ah-ah... Ah-ah-ah, ah-ah-ah...See Ride LiveGet tickets as low as $54You might also likeEmbed",Going Blank Again
4,Chrome Waves,Ride,9-Mar-92,"9 ContributorsChrome Waves Lyrics One hundred years from now See the chrome, can't hear it move I'll meet you on the way down Wrapped around somebody's hand (Ah, ah) We've all moved on from here (Ah, ah) The colour's running dry (Ah, ah) A drowsy line of wasted time (Ah, ah) Bathes my open mind This strange machinery Is keeping you from seeing me I'll meet you on the way down Can't stay, unbearable to go (Ah, ah) We've all moved on from here (Ah, ah) The colour's running dry (Ah, ah) A drowsy line of wasted time (Ah, ah) Bathes my open mind See Ride LiveGet tickets as low as $54You might also like Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Embed",Going Blank Again
5,Mouse Trap,Ride,9-Mar-92,"8 ContributorsMouse Trap Lyrics Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Running away, you're lost for words again Now you've got all what you wanted, are you really satisfied? Tricky scenes, tricky little dreams The earth spins, my head spins me back round to you Ah, ah Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Ah, ah-ahSee Ride LiveGet tickets as low as $54You might also likeEmbed",Going Blank Again
6,Time of Her Time,Ride,9-Mar-92,"10 ContributorsTime of Her Time Lyrics She turns her face to the wall, then she sees her sorrow there Puts out her hand to touch it again and again Fingernail marks in the morning, wallpaper silhouettes The signs of her yesterdays can't ever be wiped away She thought that I would care Thought that I'd be there, think again Your face I've seen in visions in silver rippling sky No feelings, reactions as I pass you by Weeks compressed to minutes, this time is her time Let me just once, be cruel without being kind She thought that I would care Thought that I'd be there, think again She thought that I would care Thought that I'd be there, think again, no more chains See Ride LiveGet tickets as low as $54You might also likeEmbed",Going Blank Again
7,Cool Your Boots,Ride,9-Mar-92,"12 ContributorsCool Your Boots Lyrics""Even a stopped clock gives the right time twice a day."" Across 50 states of mind, I didn't feel inclined You waited yesterday, I didn't come your way Now time is moving on, I know it won't be long 'Til I'm shuffling away with nothing more to say When I'm printed on your wall, my face won't change at all The smile beneath my hair hangs lifeless in the air Like a net in water I'm running through it all And I'm shuffling away with nothing more to say It's been preying on my mind and now I'm just resigned You smile for yesterday, I think I'm in the way You seem concerned and say I should slow down But how can I see the stars if my feet are on the ground? See Ride LiveGet tickets as low as $54You might also like ""Cool your boots."" ""Cool your boots.""1Embed",Going Blank Again
8,Making Judy Smile,Ride,9-Mar-92,"11 ContributorsMaking Judy Smile LyricsThere's a picture on the door, madman smiling from the floor It's a good day for a drive if you think you will survive Just my way of saying hi 'cause I knew I wouldn't write And the seat will fit one more, so there's room enough for four Your words they flatter me, you fill my head with tea Please let me take it one more mile The galaxy may burn if I can't make it turn I hope I'm making Judy smile I hope I'm making Judy smileSee Ride LiveGet tickets as low as $54You might also likeEmbed",Going Blank Again
9,Time Machine,Ride,9-Mar-92,"8 ContributorsTime Machine LyricsWaste no more energy, no more time Step into the time machine aboard this flight Time to go, it's sad that you're not here To open up your eyes and watch me dissapear Carried away, imaginations are running wild Losing control, I'm landing back in this year Did I ever move? Did I dissapear? If I could move through time I'd go back and put it right Carried away, imaginations are running wildSee Ride LiveGet tickets as low as $54You might also likeEmbed",Going Blank Again
10,OX4,Ride,9-Mar-92,"14 ContributorsOX4 LyricsNever been so far away I don't think I want to stay in this room anymore If I crawl across the floor Then I'd be closer to that door, but it's too far Never been so far away Just lost the last thought in my head, what happens now? Some fantasy you've been Pick up the pieces in my mind, I'm going... ...I'm going home...See Ride LiveGet tickets as low as $54You might also like1Embed",Going Blank Again
1,Twisterella,Ride,13-Apr-92,"14 ContributorsTwisterella Lyrics Any minute she will feel the chemistry Vibrations in her brain can't ever be explained Slip away and out of sight, feel the magnets of the night The circus that you see is where you have to be If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? Feel the weight letting go Feel more lightness than you've ever known You can't see when light's so strong You can't see when light is gone If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? See Ride LiveGet tickets as low as $54You might also like ""Look at Twisterella, she hasn't got a fella""Embed",Twisterella [EP]
2,Going Blank Again,Ride,13-Apr-92,"3 ContributorsGoing Blank Again LyricsAll the things she said she did I can't believe they're done Won't these white sheets swallow me up I just feel so young Wormed your way inside my head To muddle up my brain I'm glazed over, no-ones home I'm going blank again Chairs and tables move around But I just stay the same Everybody's happy now The room has gone insane You can't put the blame on me I left before I came I'm glazed over, no-one's home I'm going blank againSee Ride LiveGet tickets as low as $54You might also likeEmbed",Twisterella [EP]
3,Howard Hughes,Ride,13-Apr-92,"3 ContributorsHoward Hughes LyricsLooking for me in the words I'm reading Shying away from the life I'm leading here Fall on the floor, stare up at the ceiling I know that my eyes are too wide to see things clearSee Ride LiveGet tickets as low as $54You might also like1Embed",Twisterella [EP]
4,Stampede,Ride,13-Apr-92,3 ContributorsStampede LyricsWandering outside With your eyes in sight You're in my life You don't know me Where do you go? Who do you see? Stampede Into me Mixing loyalty I follow what I see I follow what I feel Until your wisdom loses me Where do you go? Who do you see? How do you feel? Where could you be? Stampede Into me Stampede Into me Stampede Into me Stampede Into meSee Ride LiveGet tickets as low as $54You might also likeEmbed,Twisterella [EP]
1,Alison,Slowdive,17-May-93,"56 ContributorsTranslationsPolskiEspaÃ±olAlison Lyrics Listen close and don't be stoned I'll be here in the morning 'Cause I'm just floating Your cigarette still burns Your messed-up world will thrill me Alison, I'm lost ""Alison,"" I said, ""We're sinking"" There's nothing here but that's okay Outside your room, your sister's spinning But she lies, tells me she's just fine I guess she's out there somewhere And the sailors, they strike poses TV covered walls End so slowly With your talking and your pills Your messed-up life still thrills me Alison, I'm lost See Slowdive LiveGet tickets as low as $55You might also like Alison, I'll drink your wine I'll wear your clothes when we're both high ""Alison,"" I said, ""We're sinking"" But she laughs and tells me it's just fine I guess she's out there somewhere31Embed",Souvlaki
2,Machine Gun,Slowdive,17-May-93,"33 ContributorsTranslationsPolskiEspaÃ±olMachine Gun Lyrics See you walking and I know she's my friend again Just the weight of the water drags me down again Guess I'll think of the water, it's my friend, oh yeah It's just the way that the water makes me feel again Son of Sheba, I saw him drown Son of yellow, I saw him down It's all I need, yeah See you walking and I know she's my friend again Just the weight of the water drags me down again Guess I'll think of the water, it's my friend, oh yeah It's just the way that the water makes me feel again Son of Sheba, I saw him drown Son of yellow, I saw him down It's all I need, yeahSee Slowdive LiveGet tickets as low as $55You might also like16Embed",Souvlaki
3,40 Days,Slowdive,17-May-93,"39 ContributorsTranslationsPolskiEspaÃ±ol40 Days Lyrics Forty days and I miss you I'm so high that I've lost my mind It's the summer I'm thinking of Forty days and I'm blown away If I saw something good I guess I wouldn't worry If I saw something good I guess I wouldn't care You said you're always sleeping But it's all I believe in It's just that I'm always falling And it makes me feel bad, yeah If I saw something good I guess I wouldn't worry If I saw something good I guess I wouldn't care Used to try and watch you I'd center on the way that you smile I don't know Used to try and watch you I'd center on the way that you smile I don't know Summer air and I want you I center on the way that you smile I don't know Summer air and I want you I center on the way that you smile I don't knowSee Slowdive LiveGet tickets as low as $55You might also like11Embed",Souvlaki
4,Sing,Slowdive,17-May-93,"26 ContributorsTranslationsPolskiEspaÃ±olSing Lyrics (Sing where the other boys can watch you dance) Here come my man (Sing where the other boys can watch you dance) Here in my mind Watch you fall away I know (Sing where the other boys can watch you dance) See you cover death I know What's in your mind, calling from behind Feel you fall away, I know he's here to stay (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) Who are you, where are you, do you know? (Sing where the other boys can watch you dance) Love is here tonight You call away I wait (Sing where the other boys can watch you dance) I know you're listening to everything I say But I know that you want to stay Oh, here another day (Sing where the other boys can watch you dance) (Sing where the other boys can watch you dance) Love is what I'm not Watching what you do And I know he's gone awaySee Slowdive LiveGet tickets as low as $55You might also like8Embed",Souvlaki
5,Here She Comes,Slowdive,17-May-93,"27 ContributorsTranslationsPolskiTÃ¼rkÃ§eEspaÃ±olPortuguÃªsHere She Comes Lyrics It's so lonely in this place So cold, I don't believe And as no one knows my name It's easy to pretend It's easy to believe There's a shadow on my wall It dances like my soul Dances like my soul It's so cold now I swear it will be warm Here she come nowSee Slowdive LiveGet tickets as low as $55You might also like10Embed",Souvlaki
6,Souvlaki Space Station,Slowdive,17-May-93,30 ContributorsTranslationsEspaÃ±olPolskiSouvlaki Space Station Lyrics Closed doors Brings open minds (And I don't want to see you) See you smile Inside (And I don't want to know you) Faces And I've fallen (And I don't want to hear you) Wonder why I'm here now In asylum Don't you see? In asylum Don't you see? Doors close And feelings flow (And I don't want to know you) Through my mind I feel his (And I don't want to hear you) Pictures And I've fallen (and I don't want to know you) Wonder why I'm here now (I promise to be near you) See Slowdive LiveGet tickets as low as $55You might also like Curse your soul I don't wanna hear you (And I) Curse your soul I don't wanna know you Curse your soul I don't wanna hear you (And I) Curse your soul I don't wanna know you10Embed,Souvlaki
7,When the Sun Hits,Slowdive,17-May-93,"58 ContributorsTranslationsEspaÃ±olPortuguÃªsPolskiWhen the Sun Hits Lyrics Sweet thing, I watch you Burn so fast it scares me Mind games, don't leave me I've come so far, don't lose me It matters where you are As the sun hits, she'll be waiting With her cool things and her heaven Hey hey, lover, you still burn me You're a song, yeah (Hey hey!) Sweet thing, I watch you Burn so fast it scares me Mind games, don't lose me Come so far, don't lose me It matters where you are As the sun hits, she'll be waiting With her cool things and her heaven Hey hey, lover, you still burn me You're a song, yeah (Hey hey!) See Slowdive LiveGet tickets as low as $55You might also like Sweet thing, I watch you (Hey hey hey!) Sweet thing, I watch you (Hey hey hey!) Sweet thing, I watch you (Hey hey hey!)31Embed",Souvlaki
8,Altogether,Slowdive,17-May-93,"25 ContributorsTranslationsPolskiTÃ¼rkÃ§eEspaÃ±olAltogether Lyrics Yeah, yeah, yeah Sleepyhead, where did you go? I saw you turning, but I couldn't catch your eye It's alright, we're altogether Yeah, yeah, yeah And this is just a dream It broke my heart, but then I guess you didn't know It's alright, we're altogether Yeah, yeah, yeah So tired, you're so right I'm so tired, it's alright tonight Yeah, yeah, yeah See Slowdive LiveGet tickets as low as $55You might also like Sleepyhead, what did you know? I saw you talking, but I didn't hear a word It's alright, we're altogether Yeah, yeah, yeah10Embed",Souvlaki
9,Melon Yellow,Slowdive,17-May-93,"21 ContributorsTranslationsPolskiEspaÃ±olMelon Yellow Lyrics Sitting by, I watched you fall away Sudden fall, I watched you for a day You know I don't believe in death Follow the sun, I watched you follow the sun Sitting here I watched you dance Looking for the sun I watched you dance So long, so long It's just a way to love you So long, so long It's just a way to love you I saw you looking at the sun I saw you looking at the sun So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love you So long, so long It's just a way to love youSee Slowdive LiveGet tickets as low as $55You might also like7Embed",Souvlaki
10,Dagger,Slowdive,17-May-93,"37 ContributorsTranslationsPolskiEspaÃ±olTÃ¼rkÃ§eDagger Lyrics The sunshine girl is sleeping She falls and dreams alone And me, I am her dagger Too numb to feel her pain The world is full of noise, yeah I hear it all the time And me, I am your dagger You know I am your wound I thought I heard you whisper It happens all the time I thought I heard you whisper It happens all the time She whispers while I'm sleeping: ""I love you when you smile"" I didn't really lose you I just lost it for a while The world is full of noise, yeah I hear it all the time You know I am your dagger You know I am your wound I thought I heard you whisper It happens all the time I thought I heard you whisper It happens all the timeSee Slowdive LiveGet tickets as low as $55You might also like20Embed",Souvlaki
11,Some Velvet Morning,Slowdive,17-May-93,6 ContributorsSome Velvet Morning Lyrics Some velvet morning when I'm straight I'm gonna open up your gate And maybe tell you 'bout Phaedra And how she gave me life And how she made it in Some velvet morning when I'm Straight Flowers growing on the hill Dragonflies and daffodils Learn from us very much Look at us but do not touch Phaedra is my name Some velvet morning when I'm straight I'm gonna open up your gate And maybe tell you 'bout Phaedra And how she gave me life And how she made it in Some velvet morning when I'm straight Flowers are the things we knew Secrets are the things we grew Learn from us very much Look at us but do not touch Phaedra is my name See Slowdive LiveGet tickets as low as $55You might also like Some velvet morning when I'm straight Some velvet morning when I'm straightEmbed,Souvlaki
8,How Does It Feel to Feel?,Ride,20-Jun-94,8 ContributorsHow Does It Feel to Feel? LyricsHow does it feel when the day is over? How does it feel when the dark comes down? How does it feel when your room is black as sin? How does it feel when you're scared by the dark? How does it feel to feel? How does it feel to feel? How does it feel when a shadow moves you? How does it feel rustled by your bed? How does it feel when it finally holds you? How does it feel when you're thinking you're dead? How does it feel to feel? How does it feel to feel? How does it feel when you wake in the morning? How does it feel feeling sun in the shade? How does it feel when you slide down a sunbeam? How does it feel bursting clouds on your way? How does it feel now that the night is over? How does it feel never to sleep again? How does it feel to feel?See Ride LiveGet tickets as low as $54You might also likeEmbed,Carnival of Light
1,Moonlight Medicine,Ride,20-Jun-94,5 ContributorsMoonlight Medicine Lyrics It's just a state of mind Freedom and time Has got me frozen up inside I wanna recognise Under this moonlight That god is on my side With senses running wild We touched the sky It looks like heaven in my eyes Moonlight medicine Keeps me alive Don't let your senses be denied Won't you shine Some light in my mind The more I find The more I need your medicine in my life Won't you shine Some light in my mind The more I find The more I need your medicine in my lifeSee Ride LiveGet tickets as low as $54You might also likeEmbed,Carnival of Light
2,1000 Miles,Ride,20-Jun-94,"5 Contributors1000 Miles LyricsThis night these memories lost and found Are taking over me I could see your picture and hear the sound Of the song you sung to me You gotta feel and take every chance You did the right thing Drove a thousand miles away Out of trace and in another time You did the wrong thing And bought it back in your mind Why's life so unkind? For always and ever it's getting better I feel your steps with mine I'm moving on like it said in the letter Another place, another time Blown away Got blown away, a thousand miles awaySee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
3,From Time To Time,Ride,20-Jun-94,"7 ContributorsFrom Time To Time LyricsWhen the morning comes you won't be mine I know that angels come from time to time There's nothing much to see just sensuality I know that angels come from time to time On a perfect day come my way And see what matters and what you'll never find There's a storm in your eyes when your body's next to mine I know that angels come from time to time Can you see better things, coming your way? Can you feel all heavy air, lifting off your days? Can you see it's easy when you open up your mind? I know that angels come from time to time Laid up above the road, I'll never know Where the finest hours seem to go I just look out to space, me and my faith I know that angels come from time to time, from time to time From time to time, from time to time From time to time, from time to time From time to time, from time to timeSee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
4,Natural Grace,Ride,20-Jun-94,"6 ContributorsNatural Grace LyricsI've been higher than all of you 'til the sun's in my eyes And the sky is blue And all that's left for me to do Is to come back down To the ground These moments away make your heart ring true They open your eyes Find out what you can do And all that's left for me to do Is to come back down, inside Well I live In this place With a natural grace As I walk Through confusion With a smile on my face Well I live In this place With a natural grace And I walk Through confusion With a smile on my face So a stumble here and a tumble there We all need someone to love and care And though these moments may change You'll still be the best thing That I ever hadSee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
5,Only Now,Ride,20-Jun-94,"6 ContributorsOnly Now LyricsOnly now the jewel shining, only now I've lost the fear In an hour I'll stop crying along the road ahead Early on our life burned, early on the gem not clear Comes the time to take a turn to find another way And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me away Only now have you touched me but by now you're who knows where Only now has it hit me, wasn't sure before Early on the signals cross, where's the potion, where's the drug Just for now the jewel is lost, keep on the road ahead And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me away Early on the signals cross where's the potion where's the drug Just for now the jewel is lost, keep on the road ahead And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me awaySee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
6,Birdman,Ride,20-Jun-94,"10 ContributorsBirdman LyricsBlackbird flying in the sky Please don't look me in the eye You are very very lucky It's never easy to find me The winter's coming now you've grown The cold will numb you to the bone It cuts you through so that you know In pain the minutes go so slow Your soul and mine will carry on When this transparent world is gone There's nothing strange in what I say It's always meant to be this way Power streams where love is strong Energy converting, never gone There's never going to be an end A million atoms can't pretend Until the cold ground swallows me Me and Ide go running free Then we'll change, not disappear All channels receiving loud and clear Birdman think he owns the sky But he can't look me in the eye I walk on gilded mirror blades I walk on razors feel no pain See Ride LiveGet tickets as low as $54You might also likeIn the heat of summertime Rolling thunder is my sign I understand what's going on I'm gonna fly right to the sunEmbed",Carnival of Light
7,Crown of Creation,Ride,20-Jun-94,"8 ContributorsCrown of Creation LyricsDon't wake me up if it's another day 'cos I don't wanna see it on my own Your love is all that I am asking for But they won't let us be alone I've been running for a thousand miles I didn't find a better place I need to hold your body in my arms And feel your kisses on my face Don't you hide your love away You are the Crown of Creation I wanna be your relation I'm getting off at your station Well I was looking for a waterfall And whatever nature showed to me To be alone these things just bring you down When you can share them, then you're free When I wake up next to you And I breathe the morning air I know that you're the only one for me Baby, nothing can compareSee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
9,Endless Road,Ride,20-Jun-94,"7 ContributorsEndless Road LyricsThe fiery sun burns, from morning to evening Across this stony plain where nothing grows Huge clouds of dust are thrown up by the scorching wind Why do we travel on this endless road? Deaf and blinded he comes to a river Senses blocked by the dust and the night Something is calling, he sleepwalks without falling Sixth sense stops him, in the shadowless light I don't remember, I don't remember Help me to remember One night by the fire somebody is talking His voice is so happy, it almost sings Like a vision, somehow he remembers Takes the road back to forests and springsSee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
10,Magical Spring,Ride,20-Jun-94,"7 ContributorsMagical Spring LyricsBaby's got a magic power, she can change the seasons She's saving up her magic power, for very special reasons If you drink her potion, you're going to lose your mind The water from this magic spring, is the best that you can find... Take a drink of the water, from the magical spring You'd better believe it, it's a wonderful thing You'll love her 'til the end of time You'll need her 'til you die Maybe you are wondering So here's the reason why She holds the key to everything, inside her pretty hands She doesn't go to sleep at night, she's making evil plans You can try, but you just can't tell her no She'll bring you to your knees, and she'll never let you go Drink from the fountain, where the air is thin You'd better believe in the magical springSee Ride LiveGet tickets as low as $54You might also likeEmbed",Carnival of Light
11,Rolling Thunder,Ride,20-Jun-94,,Carnival of Light
12,I Don’t Know Where It Comes From,Ride,20-Jun-94,"8 ContributorsI Donât Know Where It Comes From LyricsI don't know where it comes from I don't know where it comes from I don't know where it comes from Don't ask me where it comes from There's something moving through the air Years ago, it wasn't there If people feel it, they don't care Seems like everybody's sterilised A piece is missing from their lives They're never going to be surprised I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from Turned on the radio tonight And I was overwhelmed with shite I got so numb I couldn't fight What's going on, I can't define How is it everyone's resigned We're so uptight, we can't unwind I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from See Ride LiveGet tickets as low as $54You might also likeI don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from There's something moving through the air Years ago, it wasn't there If people feel it, they don't care Seems like everybody's sterilised A piece is missing from their lives They're never going to be surprised 2x: I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from 5x: I don't know where it comes from I don't know where it comes from I don't know where it comes from Don't ask me where it comes from1Embed",Carnival of Light
1,Rutti,Slowdive,6-Feb-95,14 ContributorsRutti LyricsInto the light of mine Inside I fall Into the light of mine It's just a love Into the soul of mine In by the bed Into the soul of mine His soul His soul the light of mine It's all a bibe Into the light of mine Inside of me Here's to the light outside It's all in pain I see the soul of you It's just a life Into the water of me Inside your bed Go kill the ghost of her Don't bother me See Slowdive LiveGet tickets as low as $55You might also likeHere's to the light outside In the water In the water In the water2Embed,Pygmalion
2,Crazy for You,Slowdive,6-Feb-95,"11 ContributorsCrazy for You LyricsCrazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love) Crazy for loving you (Crazy for love, for love, for love)See Slowdive LiveGet tickets as low as $55You might also like2Embed",Pygmalion
3,Miranda,Slowdive,6-Feb-95,10 ContributorsMiranda LyricsSee Slowdive LiveGet tickets as low as $55You might also like1Embed,Pygmalion
4,Trellisaze,Slowdive,6-Feb-95,11 ContributorsTrellisaze LyricsSee Slowdive LiveGet tickets as low as $55You might also likeEmbed,Pygmalion
5,Cello,Slowdive,6-Feb-95,,Pygmalion
6,J’s Heaven,Slowdive,6-Feb-95,9 ContributorsJâs Heaven LyricsInside my soul Isnât life cheerful? Inside my soul Isnât life cheerful? Inside myâ¦ Isnât life cheerful? Inside myâ¦ Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful? Why am I so low? Isnât life cheerful?See Slowdive LiveGet tickets as low as $55You might also like1Embed,Pygmalion
7,Visions of LA,Slowdive,6-Feb-95,12 ContributorsVisions of LA LyricsSit still by the fire Ease his worried mind If only I could try Reach the light inside Feels so hard to say Chase his fears away Know that I won't try Catch his dreams todaySee Slowdive LiveGet tickets as low as $55You might also like2Embed,Pygmalion
8,Blue Skied an’ Clear,Slowdive,6-Feb-95,"17 ContributorsBlue Skied anâ Clear Lyrics You say your money In the mind One and all (You're so hard to reach) (You're sunshine) For another Fall aside (You're so hard to reach) (You're sunshine) For another Fallen down (You're so hard to reach) (You're sunshine) In our life (You're sunshine) (You're sunshine) (You're sunshine) You say life And it sounds so good You say love And it sounds so sweet (You're sunshine) (Oh, sunshine) You say your money (You're sunshine) In the mind What an honor (You're so hard to reach) (You're sunshine) In the mind Follow my (You're so hard to reach) (You're sunshine) For another Follow my (You're so hard to reach) (You're sunshine) For another See Slowdive LiveGet tickets as low as $55You might also like (You're sunshine) You say life And it sounds so good You say love And it sounds so sweet You say life And it sounds so good You say love And it sounds so sweet (You're sunshine) (You're sunshine) (You're sunshine) (You're sunshine)Embed",Pygmalion
9,All of Us,Slowdive,6-Feb-95,10 ContributorsAll of Us Lyrics This whole life Is all of us This whole dream Is all of me Minnow lies Inside me now No one here Is sure He is all of us He is all of us He is all of us He is all of us He looks centuries older He's of centuries gone Recognise I need her I can hold you close He is all of us He is all of us He is all of us He is all of usSee Slowdive LiveGet tickets as low as $55You might also like4Embed,Pygmalion
1,Black Nite Crash,Ride,11-Mar-96,"5 ContributorsBlack Nite Crash LyricsSee the girls coughing, looking underfed When they go to sleep, they dream of being dead I saw you in the corner, with a butcher's knife Your boyfriend running round, looking for a midwife Everyone's got the same disease, it's alright Everybody lives down on their knees, it's alright I bumped into a hunchback abuser Said he made a million working on a cruiser Do what he want and he don't get caught He's looking at the moon but I'm an astronaut Everyone looks when they see a crash, it's alright Everybody needs just a little cash, it's alright Evening daybreak, switchblade stomach ache Gonna meet a man with a rattlesnake handshake Walk around like I'm looking for an upgrade Slipping through town like a penny in the arcadeSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
2,Sunshine/Nowhere To Run,Ride,11-Mar-96,"4 ContributorsSunshine/Nowhere To Run LyricsHear the engine running as the tour bus pulls away The sadness of the road will be the death of me one day I'm sick and tired of my guitar and the same old songs again And so I write a new one, that's the nature of the game And when the party's over, I've got nowhere to run The road goes on forever, even when we're dead and gone Drinking in a hotel room, I hate what I've become I'm turning back to nothing, all my dreams have come undone The spotlight drew me over, now it's burning me away So I'm looking for the real me, in some shadow when I play And when the party's over, I've got nowhere to run The road goes on forever, even when we're dead and gone But my love, she's so fine She gives me the sunshine after the rain My love, you're so fine You give me sunshine When the storm is over You give me the sunshine My love, you're so fine You make my sun shine When the storm is over You give me the sunshine after the rainSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
3,Dead Man,Ride,11-Mar-96,"6 ContributorsDead Man LyricsDead man, crawling out of his crater Sucking on the air from his ventilator Watch out little girl you're just a beginner He wears outside his face the smile of a winner Drags his woman around by the hair It turns her on, she don't wanna be square Standing on top of the family mountain Drinking lemonade from the magical fountain Holiday trips in a Volkswagen camper Children locked into an old picnic hamper Let them loose to play in a sandpit Leave them there 'cause they take us for granted Man is an ape, and woman a martyr It's not what you do when you do it, it's what you do after I went down to the zoo and I looked in the cages Then I walked on home past the office, collected my wagesSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
4,Walk on Water,Ride,11-Mar-96,"6 ContributorsWalk on Water LyricsBeautiful Lady, I love you so You know I need you, please don't go Just like a child, I'm running wild I'd walk on water for your smile I'd walk across the sea To get you close to me This life we're living, it can break your heart But all these contradictions won't pull us apart Don't be afraid, I'm gonna stay Felt like the end, but it was just the startSee Ride LiveGet tickets as low as $54You might also likeEmbed",Tarantula
